site_ID,grassland_type,restoration_measure,depth,pH
BK_T_01,B,T,0,6.82
BK_TG2_05,B,TG,1,5.43
GG_TG_03,B,TG,1,8.59
BK_TG2_02,B,TG,1,6.09
SV_R_03,B,R,0,4.88
KD_R_03,B,R,1,5.96
RK_T_01,H,T,1,7.19
LS_R_03,B,R,1,5.37
WW_R_04,B,R,0,5.84
SV_R_03,B,R,1,5.9
BH_TG_03,B,TG,0,5.5
AS_T_01,H,T,1,6.12
SH_T_04,B,T,0,5.83
BK_T_04,B,T,1,6.19
LM_T_01,B,T,1,6.53
SV_TG_02,B,TG,1,6.58
SV_R_05,B,R,1,5.02
SB_TG_01,B,TG,0,5.92
WV_TG_04,H,T,1,5.6
WV_TG_03,H,T,1,5.48
WV_T_01,B,T,0,5.4
HB_TG_03,B,TG,0,7.68
HB_TG_04,B,TG,0,7.6
WW_R_05,B,R,1,6.15
WV_TG_03,H,T,0,5.45
BK_R_02,B,R,1,6.5
BK_R_03,B,R,1,6.76
SH_T_05,B,T,0,5.66
SH_T_02,B,T,1,5.83
SH_T_03,B,T,1,5.95
SB_TG_04,B,TG,0,6.15
SB_TG_04,B,TG,1,6.48
LM_T_05,B,T,0,7.21
LM_T_03,B,T,0,6.52
GG_TG_04,B,TG,0,8.66
GG_TG_01,B,TG,1,5.83
SV_R_01,B,R,0,6.54
SV_R_05,B,R,0,4.88
BK_T_02,B,T,0,6.89
BK_TG_04,B,TG,0,7.59
BH_TG_05,B,TG,1,4.39
WZ_TG_01,B,TG,1,6.11
WV_T_04,B,T,0,5.02
WW_R_05,B,R,0,5.63
KD_R_01,B,R,1,6.58
WV_T_05,B,T,0,5.11
WV_T_02,B,T,0,5.29
DV_R_01,H,R,0,3.97
DV_R_03,H,R,0,4.19
GG_TG_03,B,TG,0,8.25
GG_TG_05,B,TG,1,8.58
RK_TG_04,H,T,1,6.02
RK_T_04,H,T,0,5.36
RK_TG_02,H,T,1,5.96
RK_TG_01,H,T,0,5.92
RK_T_02,H,T,1,5.82
RK_T_03,H,T,1,5.77
DV_R_04,H,R,0,4.34
DV_R_02,H,R,1,4.07
AA_T_03,H,T,1,5.16
AA_T_03,H,T,0,5.31
AA_T_01,H,T,1,5.66
GP_T_05,B,T,1,5.98
GP_T_05,B,T,0,5.8
BM_R_05,B,R,0,6.43
BM_R_05,B,R,1,6.95
SV_TG_04,B,TG,0,6.55
SV_TG_05,B,TG,1,6.6
SV_R_04,B,R,0,4.37
BH_TG_01,B,TG,0,5.72
BH_TG_01,B,TG,1,5.9
WV_T_05,B,T,1,4.83
WV_T_03,B,T,0,5.23
AS_T_05,H,T,1,5.86
DZ_R_03,H,R,0,5.4
RK_TG_03,H,T,1,5.7
RK_TG_04,H,T,0,5.61
LM_T_04,B,T,0,6.7
LM_T_01,B,T,0,4.98
BK_TG2_04,B,TG,0,5.12
BK_TG2_01,B,TG,0,5.6
WW_R_01,B,R,0,5.53
WW_R_04,B,R,1,6.74
SV_TG_02,B,TG,0,5.96
SV_TG_03,B,TG,0,6.2
SV_TG_05,B,TG,0,5.14
SV_TG_01,B,TG,1,6.52
SV_TG_04,B,TG,1,6.91
AS_T_02,H,T,0,5.11
AS_T_03,H,T,1,5.79
AS_T_04,H,T,0,5.75
KD_R_05,B,R,1,5.7
KD_R_04,B,R,0,5.51
BK_TG_02,B,TG,1,7.27
BK_TG_03,B,TG,0,6.89
BK_TG_01,B,TG,0,7.91
BK_TG_05,B,TG,0,7.93
BK_TG2_01,B,TG,1,6.31
BK_TG2_02,B,TG,0,5.81
SB_TG_02,B,TG,0,6.08
SB_TG_03,B,TG,0,5.96
SB_TG_03,B,TG,1,6.47
SB_TG_05,B,TG,0,6.23
SB_TG_05,B,TG,1,6.66
WZ_TG_03,B,TG,0,6.17
WZ_TG_01,B,TG,0,6.45
BM_R_01,B,R,0,5.45
BM_R_01,B,R,1,5.67
BH_TG_04,B,TG,0,5.58
BH_TG_05,B,TG,0,5.29
BK_T_01,B,T,1,6.97
BK_T_05,B,T,1,7.03
SH_T_01,B,T,1,5.82
SH_T_02,B,T,0,5.6
SH_T_03,B,T,0,5.7
SH_T_05,B,T,1,5.88
KD_R_01,B,R,0,6.5
KD_R_03,B,R,0,5.55
LS_R_02,B,R,0,4.81
LS_R_02,B,R,1,5.16
LS_R_03,B,R,0,4.9
LS_R_04,B,R,0,4.78
LS_R_04,B,R,1,4.96
LM_T_02,B,T,1,5.57
LM_T_05,B,T,1,7.28
HB_TG_02,B,TG,1,7.18
HB_TG_03,B,TG,1,7.36
HB_TG_04,B,TG,1,7.65
BK_TG_02,B,TG,0,6.9
BK_TG_03,B,TG,1,7.67
BK_TG_05,B,TG,1,8.15
BK_R_01,B,R,1,7.44
BK_R_02,B,R,0,5.41
BK_R_05,B,R,0,5.88
BK_R_05,B,R,1,6.97
GP_T_01,B,T,0,6.38
GP_T_03,B,T,0,5.52
GP_T_03,B,T,1,5.67
WV_T_01,B,T,1,5.31
WV_T_04,B,T,1,5.28
KD_R_02,B,R,1,7.15
KD_R_05,B,R,0,5.29
BH_TG_03,B,TG,1,4.75
BH_TG_04,B,TG,1,3.98
BH_TG_02,B,TG,0,3.24
BK_TG2_05,B,TG,0,4.93
BK_TG2_03,B,TG,0,4.94
BK_TG2_03,B,TG,1,5.39
BK_TG2_04,B,TG,1,4.99
SV_R_01,B,R,1,6.68
SV_R_02,B,R,0,4.44
SV_R_04,B,R,1,4.77
HB_TG_01,B,TG,1,7.17
HB_TG_05,B,TG,1,7.76
HB_TG_05,B,TG,0,8.03
HB_TG_02,B,TG,0,6.75
BK_T_03,B,T,0,7.06
BK_T_04,B,T,0,5.75
BK_T_02,B,T,1,7.04
WZ_TG_03,B,TG,1,6.09
WZ_TG_02,B,TG,1,5.41
WZ_TG_02,B,TG,0,5.86
WZ_TG_05,B,TG,0,5.33
WW_R_03,B,R,0,5.14
WW_R_03,B,R,1,5.69
WW_R_01,B,R,1,7.58
WW_R_02,B,R,0,5.07
LS_R_05,B,R,0,4.65
BK_R_04,B,R,1,6.73
BK_TG_01,B,TG,1,7.89
WZ_TG_05,B,TG,1,5.51
BK_R_01,B,R,0,6.4
LM_T_02,B,T,0,4.9
LM_T_04,B,T,1,7.89
BK_R_03,B,R,0,5.64
BK_R_04,B,R,0,5.61
BM_R_02,B,R,0,6.3
BM_R_03,B,R,0,5.55
BM_R_03,B,R,1,5.98
BM_R_04,B,R,1,6.22
BM_R_04,B,R,0,5.98
WZ_TG_04,B,TG,0,5.89
WZ_TG_04,B,TG,1,6.01
SH_T_01,B,T,0,5.54
LS_R_01,B,R,1,5.14
SB_TG_01,B,TG,1,6.43
SV_TG_03,B,TG,1,6.74
GG_TG_05,B,TG,0,8.38
GG_TG_01,B,TG,0,5.88
GG_TG_02,B,TG,1,6.04
GP_T_01,B,T,1,6.51
GP_T_02,B,T,1,6.25
GP_T_02,B,T,0,5.92
GP_T_04,B,T,0,6.55
GP_T_04,B,T,1,6.57
RK_TG_05,H,T,0,5.91
AS_T_03,H,T,0,5.88
AA_T_02,H,T,0,5.4
AA_T_05,H,T,0,5.31
AA_T_05,H,T,1,5.79
DZ_R_02,H,R,1,5.85
DZ_R_05,H,R,1,5.68
DV_R_01,H,R,1,3.98
DV_R_03,H,R,1,4.33
DV_R_04,H,R,1,4.31
DV_R_05,H,R,1,4.77
HV_R_01,H,R,0,4.7
HV_R_02,H,R,0,4.89
HV_R_03,H,R,0,4.6
SD_T_02,H,T,0,5.52
SD_T_04,H,T,0,5.26
SD_T_04,H,T,1,5.4
SD_T_05,H,T,1,5.79
WV_TG_01,H,T,0,5.44
WV_TG_02,H,T,0,5.0
WV_TG_04,H,T,0,5.43
WV_TG_05,H,T,0,6.93
